ID,Nama Klinik,Kecamatan,Alamat,Layanan,Harga,Y,X,Nomor Telpon
1,Miracle Aesthetic Clinic Malang,Klojen,"Jl. Wilis No.6, Gading Kasri",Perawatan Wajah,648000-3420000,-7.9720170,112.6194663,081222456599
2,Loris Beauty Clinic Malang,Lowokwaru,"Jl. Soekarno Hatta D 500 Kav B, Mojolangu",Perawatan Tubuh dan Wajah,360000-7500000,-7.9396672,112.6242329,085791413375
3,Beauty Lux Skin Care,Klojen,"Jl. Raya Langsep No.42, Bareng",Perawatan Tubuh dan Wajah,150000-5000000,-7.9796041,112.6109329,081222241609
4,Glow + Aesthetic Clinic,Kedungkandang,Jl. Danau Toba No.31 E1,Perawatan Wajah,60000-1250000,-7.9804801,112.6566255,085777708369
5,Aurell Skin Care,Klojen,"Jl. Kepundung No.50, Bareng",Perawatan Tubuh dan Wajah,250000-5000000,-7.9773308,112.6143950,082229249749
6,Esther Aesthetic Clinic Malang,Klojen,Jl. Yulius Usman No.64,Perawatan Tubuh dan Wajah,100000-5000000,-7.9851932,112.6250777,082244556663
7,Larissa Aesthetic Center,Klojen,"Jl. Arjuno No.17, Kauman",Perawatan Tubuh dan Wajah,30000-425000,-7.9782277,112.6266429,08112540832
8,Profira Malang,Klojen,"Jl. Retawu No.8, Oro-oro Dowo",Perawatan Tubuh dan Wajah,285000-8500000,-7.970926,112.6201888,081335541457
9,Haven Light Clinic,Klojen,"Jl. Buring No.29, Oro-oro Dowo",Perawatan Tubuh dan Wajah,85000-2000000,-7.971144,112.6258233,085777710399
10,Ms Glow Aesthetic Clinic,Klojen,"Jl. Guntur No.08, Oro-oro Dowo",Perawatan Tubuh dan Wajah,400000-5500000,-7.96877,112.6236002,(0341)3015563
11,SnoWhite Skin Care,Lowokwaru,"Jl. Raya Sumbersari No.89A, Ketawanggede",Perawatan Wajah,150000-4500000,-7.9532268,112.6100794,08113788362
12,Klinik Diamond Beauty,Klojen,"Jl. Ade Irma Suryani No.7, Kasin",Perawatan Tubuh dan Wajah,20000-2750000,-7.9846404,112.6282001,081215555170
13,Natasha Skin Clinic Center,Lowokwaru,"Jl. soekarno Hatta PTP II No.Kav. 5-6, Mojolangu",Perawatan Tubuh dan Wajah,350000-20000000,-7.9373928,112.6257674,(0341)488290
14,Klinik Derma Beautee,Lowokwaru,"Griya Shanta Blk. J No.421, Mojolangu",Perawatan Tubuh dan Wajah,312000-2700000,-7.9359084,112.6200927,087859085346
15,Karadenta Clinic Malang,Kedungkandang,Jl. Raya Sawojajar Blok NY 1 No. 1,Perawatan Tubuh dan Wajah,266000-888000,-7.975286,112.6551971,08112096224
16,HAYYU Skin Clinic,Lowokwaru,"Jl. Soekarno - Hatta No.45C, Jatimulyo",Perawatan Tubuh dan Wajah,40000-6799000,-7.9422,112.6210753,(0341)4381161
17,Naavagreen Natural Skin Care,Klojen,"Jl. Brigjend Slamet Riadi No.165a, Oro-oro Dowo",Perawatan Tubuh dan Wajah,50000-800000,-7.9640220,112.6270691,08112979562
18,ZAP Clinic Malang,Klojen,"Jl. Buring No.30, Oro-oro Dowo",Perawatan Tubuh dan Wajah,199000-2500000,-7.9713018,112.6264991,081901500310
19,LBC Malang,Klojen,"Jl. Kawi No.39, Kauman",Perawatan Wajah,118000-1068000,-7.9774682,112.6225699,088806605309
20,Ella Skin Care Malang,Klojen,"Jl. Merbabu No.33, Oro-oro Dowo",Perawatan Tubuh dan Wajah,33000-3500000,-7.9666661,112.6248296,(0341)3019187
